i,lo_iqr,hi_iqr,lo_mad,hi_mad,n_outlier_iqr,n_outlier_mad
1,54.065501309428356,131.76715986421098,57.20303887616796,132.95026446819983,19.0,25.0
2,41.41946559009008,108.30552221806809,37.113660282178174,111.18062259986927,0.0,0.0
3,51.909944997951264,132.44239644204364,47.32406771273219,140.045086801265,0.0,0.0
4,49.679262664002906,136.46075293794325,53.48717040991472,139.5364922727815,37.0,37.0
5,60.1401736604044,133.93344129296776,60.25496449441435,138.37060549779136,41.0,42.0
6,9.39326508151317,139.57266541761004,-4.142430690033606,149.8709630137813,0.0,0.0
7,65.73552550637834,118.38531525918302,63.05253702742198,121.39722910083202,33.0,20.0
8,53.213429627099266,138.42450824282363,48.12467269651023,142.68856266016957,0.0,0.0
9,49.13208652179957,115.99141336474275,42.90976283180455,119.83330611802003,0.0,0.0
10,28.578760461198726,164.05936103557838,21.984145883510678,168.2758401807032,0.0,0.0
