var,beta
const,87.42089515370053
I(i=2),-12.373146779207527
I(i=3),17.575700973207734
I(i=4),-27.063573542364157
I(i=5),19.376913920899327
I(i=6),-51.82870823972702
I(i=7),4.715714078257708
I(i=8),30.402232478250436
I(i=9),2.2832614328794394
I(i=10),41.57870661921285
t_i1,0.003860741591094102
t_i2,-0.015255201184903486
t_i3,-0.052869249680806536
t_i4,0.08279412602608076
t_i5,-0.035662357224626524
t_i6,0.08455894837640286
t_i7,-0.0203549722638533
t_i8,-0.07824292733512998
t_i9,-0.044867369136182944
t_i10,-0.11973297765733175
sin1,10.375601942130197
cos1,-7.082434846098891
H_m7,2.264313139028888
H_l7,0.8643783172350386
A_m_f,-0.2066932602625895
A_l_f,-0.05951779791940213
has_m,10.440104846963736
has_l,9.982652815789866
