i,n_m,n_l,T_M_mean,T_M_med,T_L_mean,T_L_med,last_m,last_l,T_M_use,T_L_use
1,10,2,73.11111111111111,62.0,347.0,347.0,2026-03-07,2025-11-14,62.0,347.0
2,9,3,80.75,56.5,57.5,57.5,2026-03-12,2026-01-29,56.5,57.5
3,11,2,67.6,55.5,138.0,138.0,2026-04-05,2025-11-17,55.5,138.0
4,13,0,54.416666666666664,57.0,inf,inf,2026-03-12,,57.0,inf
5,12,1,62.18181818181818,60.0,,,2026-04-03,2024-09-21,60.0,262.5
6,10,2,73.0,71.0,105.0,105.0,2026-03-25,2025-02-19,71.0,105.0
7,11,2,67.6,62.0,298.0,298.0,2026-03-25,2026-02-08,62.0,298.0
8,13,0,55.583333333333336,54.5,inf,inf,2026-03-31,,54.5,inf
9,11,2,63.4,62.5,321.0,321.0,2026-02-23,2026-04-01,62.5,321.0
10,10,3,74.44444444444444,74.0,262.5,262.5,2026-03-26,2026-01-01,74.0,262.5
