gamma_m,gamma_l,rmse_train,rmse_valid
-3.0,-10,7.6807,13.7268
-3.0,-5,7.5911,13.221
-3.0,-2,7.5498,13.0532
-3.0,-1,7.5381,13.0208
-3.0,0,7.5274,13.0005
-3.0,1,7.5179,12.9922
-3.0,2,7.5094,12.996
-2.0,-10,7.6485,13.7684
-2.0,-5,7.5532,13.2318
-2.0,-2,7.5085,13.0442
-2.0,-1,7.4957,13.0053
-2.0,0,7.4839,12.9783
-2.0,1,7.4732,12.9634
-2.0,2,7.4636,12.9606
-1.0,-10,7.6215,13.8191
-1.0,-5,7.5206,13.2522
-1.0,-2,7.4724,13.0452
-1.0,-1,7.4585,12.9996
-1.0,0,7.4456,12.966
-1.0,1,7.4338,12.9444
-1.0,2,7.423,12.9349
-0.5,-10,7.61,13.8479
-0.5,-5,7.5063,13.266
-0.5,-2,7.4564,13.0493
-0.5,-1,7.4419,13.0004
-0.5,0,7.4284,12.9635
-0.5,1,7.416,12.9386
-0.5,2,7.4047,12.9258
-0.25,-10,7.6047,13.8632
-0.25,-5,7.4996,13.2738
-0.25,-2,7.4489,13.0523
-0.25,-1,7.4341,13.0018
-0.25,0,7.4203,12.9632
-0.25,1,7.4076,12.9366
-0.25,2,7.396,12.9222
0.0,-10,7.5998,13.879
0.0,-5,7.4933,13.2822
0.0,-2,7.4417,13.0559
0.0,-1,7.4266,13.0038
0.0,0,7.4126,12.9635
0.0,1,7.3996,12.9353
0.0,2,7.3877,12.9191
0.25,-10,7.5952,13.8953
0.25,-5,7.4873,13.2912
0.25,-2,7.4348,13.0601
0.25,-1,7.4194,13.0063
0.25,0,7.4051,12.9644
0.25,1,7.3919,12.9346
0.25,2,7.3797,12.9167
