level_buy,level_l,c_buy,c_l,EAC_total
-0.3,-0.3,210.0,8.399999999999999,736.58
-0.3,-0.2,210.0,9.600000000000001,745.92
-0.3,-0.1,210.0,10.8,755.11
-0.3,0.0,210.0,12.0,764.21
-0.3,0.1,210.0,13.200000000000001,772.82
-0.3,0.2,210.0,14.399999999999999,781.31
-0.3,0.3,210.0,15.600000000000001,789.05
-0.2,-0.3,240.0,8.399999999999999,814.37
-0.2,-0.2,240.0,9.600000000000001,824.23
-0.2,-0.1,240.0,10.8,833.57
-0.2,0.0,240.0,12.0,842.74
-0.2,0.1,240.0,13.200000000000001,851.83
-0.2,0.2,240.0,14.399999999999999,860.34
-0.2,0.3,240.0,15.600000000000001,868.82
-0.1,-0.3,270.0,8.399999999999999,890.29
-0.1,-0.2,270.0,9.600000000000001,901.42
-0.1,-0.1,270.0,10.8,911.04
-0.1,0.0,270.0,12.0,920.15
-0.1,0.1,270.0,13.200000000000001,929.24
-0.1,0.2,270.0,14.399999999999999,938.31
-0.1,0.3,270.0,15.600000000000001,946.8
0.0,-0.3,300.0,8.399999999999999,965.07
0.0,-0.2,300.0,9.600000000000001,976.76
0.0,-0.1,300.0,10.8,987.01
0.0,0.0,300.0,12.0,996.76
0.0,0.1,300.0,13.200000000000001,1005.85
0.0,0.2,300.0,14.399999999999999,1014.93
0.0,0.3,300.0,15.600000000000001,1023.98
0.1,-0.3,330.0,8.399999999999999,1039.49
0.1,-0.2,330.0,9.600000000000001,1051.6
0.1,-0.1,330.0,10.8,1062.37
0.1,0.0,330.0,12.0,1072.37
0.1,0.1,330.0,13.200000000000001,1082.26
0.1,0.2,330.0,14.399999999999999,1091.52
0.1,0.3,330.0,15.600000000000001,1100.61
0.2,-0.3,360.0,8.399999999999999,1113.36
0.2,-0.2,360.0,9.600000000000001,1126.18
0.2,-0.1,360.0,10.8,1137.65
0.2,0.0,360.0,12.0,1147.79
0.2,0.1,360.0,13.200000000000001,1157.69
0.2,0.2,360.0,14.399999999999999,1167.59
0.2,0.3,360.0,15.600000000000001,1176.89
0.3,-0.3,390.0,8.399999999999999,1186.77
0.3,-0.2,390.0,9.600000000000001,1199.96
0.3,-0.1,390.0,10.8,1212.21
0.3,0.0,390.0,12.0,1223.07
0.3,0.1,390.0,13.200000000000001,1233.12
0.3,0.2,390.0,14.399999999999999,1243.02
0.3,0.3,390.0,15.600000000000001,1252.92
